english,german,article,meanings,type
pillow,Kissen,der,pillow,noun
box,Kiste,die,box,noun
class,Klasse,die,class,noun
dress,Kleid,der,dress,noun
clothes,Kleidung,die,clothes,noun
climate,Klima,das,climate,noun
knee,Knie,die,knee,noun
garlic,Knoblauch,der,garlic,noun
bone,Knochen,das,bone,noun
chef,Koch,der,chef,noun
compass,Kompass,der,compass,noun
account,Konto,der,account,noun
control,Kontrolle,die,control,noun
head,Kopf,der,head,noun
copy,Kopie,die,copy,noun
hospital,Krankenhaus,das,hospital,noun
nurse,Krankenschwester,der,nurse,noun
disease,Krankheit,die,disease,noun
war,Krieg,der,war,noun
cake,Kuchen,das,cake,noun
pen,Kugelschreiber,der,pen,noun
culture,Kultur,die,culture,noun
customer,Kunde,die,customer,noun
course,Kurs,der,course,noun
cheese,Käse,der,cheese,noun
kitchen,Küche,die,kitchen,noun
artist,Künstler,der,artist,noun
charger,Ladegerät,der,charger,noun
lamp,Lampe,die,lamp,noun
country,Land,der,country,noun
teacher,Lehrer,der,teacher,noun
performance,Leistung,die,performance,noun
spoon,Löffel,der,spoon,noun
solution,Lösung,die,solution,noun
power,Macht,der,power,noun
stomach,Magen,der,stomach,noun
may,Mai,der,may,noun
manager,Manager,der,manager,noun
man,Mann,der,man; husband,noun
coat,Mantel,der,coat,noun
market,Markt,der,market,noun
machine,Maschine,die,machine,noun
material,Material,der,material,noun
mouse,Maus,der,mouse,noun
medicine,Medizin,die,medicine,noun
sea,Meer,der,sea,noun
opinion,Meinung,die,opinion,noun
melon,Melone,die,melon,noun
people,Menschen,das,people,noun
knife,Messer,der,knife,noun
milk,Milch,die,milk,noun
lunch,Mittagessen,der,lunch,noun
wednesday,Mittwoch,der,wednesday,noun
moment,Moment,das,moment,noun
month,Monat,der,month,noun
moon,Mond,der,moon,noun
monday,Montag,der,monday,noun
morning,Morgen,der,morning; tomorrow (as noun),noun
mouth,Mund,der,mouth,noun
music,Musik,die,music,noun
musician,Musiker,der,musician,noun
mother,Mutter,der,mother,noun
march,März,der,march,noun
cap,Mütze,die,cap,noun
message,Nachricht,die,message; news,noun
news,Nachrichten,der,news,noun
night,Nacht,die,night,noun
name,Name,die,name,noun
nose,Nase,die,nose,noun
nature,Natur,die,nature,noun
fog,Nebel,der,fog,noun
level,Niveau,der,level,noun
november,November,der,november,noun
pasta,Nudeln,der,pasta,noun
ear,Ohr,der,ear,noun
earring,Ohrring,der,earring,noun
october,Oktober,der,october,noun
operation,Operation,die,operation,noun
folder,Ordner,der,folder,noun
organization,Organisation,die,organization,noun
ocean,Ozean,der,ocean,noun
package,Paket,der,package,noun
paper,Papier,das,paper,noun
park,Park,der,park,noun
partner,Partner,der,partner,noun
party,Party,der,party,noun
password,Passwort,der,password,noun
person,Person,die,person; individual,noun
pan,Pfanne,die,pan,noun
pepper,Pfeffer,der,pepper,noun
peach,Pfirsich,der,peach,noun
plant,Pflanze,die,plant,noun
plum,Pflaume,die,plum,noun
pilot,Pilot,der,pilot,noun
police,Polizei,der,police,noun
position,Position,die,position,noun
price,Preis,der,price; award,noun
problem,Problem,das,problem; issue,noun
product,Produkt,der,product,noun
project,Projekt,der,project,noun
process,Prozess,der,process,noun
sweater,Pullover,der,sweater,noun
space,Raum,das,space,noun
bill,Rechnung,die,bill,noun
rule,Regel,der,rule,noun
rain,Regen,der,rain,noun
umbrella,Regenschirm,der,umbrella,noun
government,Regierung,die,government,noun
rice,Reis,der,rice,noun
journey,Reise,die,journey,noun
restaurant,Restaurant,das,restaurant,noun
judge,Richter,der,judge,noun
direction,Richtung,die,direction,noun
beef,Rindfleisch,der,beef,noun
ring,Ring,der,ring,noun
skirt,Rock,der,skirt,noun
backpack,Rucksack,der,backpack,noun
back,Rücken,der,back,noun
salad,Salat,der,salad,noun
salt,Salz,der,salt,noun
saturday,Samstag,der,saturday,noun
sand,Sand,der,sand,noun
damage,Schaden,der,damage,noun
scarf,Schal,der,scarf,noun
actor,Schauspieler,der,actor,noun
battle,Schlacht,der,battle,noun
bedroom,Schlafzimmer,der,bedroom,noun
key,Schlüssel,der,key; wrench,noun
snow,Schnee,der,snow,noun
desk,Schreibtisch,der,desk,noun
writer,Schriftsteller,der,writer,noun
shoes,Schuhe,die,shoes,noun
school,Schule,die,school,noun
shoulder,Schulter,der,shoulder,noun
pork,Schweinefleisch,der,pork,noun
sister,Schwester,der,sister,noun
student,Schüler,der,student,noun
lake,See,die,lake,noun
side,Seite,die,side,noun
september,September,der,september,noun
shorts,Shorts,der,shorts,noun
safety,Sicherheit,die,safety,noun
situation,Situation,die,situation,noun
socks,Socken,der,socks,noun
soldier,Soldat,der,soldier,noun
sun,Sonne,die,sun,noun
sunday,Sonntag,der,sunday,noun
mirror,Spiegel,der,mirror,noun
player,Spieler,der,player,noun
sport,Sport,der,sport,noun
language,Sprache,die,language; speech,noun
city,Stadt,die,city; town,noun
stone,Stein,der,stone,noun
star,Stern,der,star,noun
boots,Stiefel,der,boots,noun
pen,Stift,der,pen; pencil,noun
voice,Stimme,die,voice,noun
beach,Strand,der,beach,noun
street,Strasse,die,street,noun
street,Straße,die,street; road,noun
argument,Streit,der,argument,noun
chair,Stuhl,der,chair,noun
storm,Sturm,der,storm,noun
soup,Suppe,die,soup,noun
system,System,der,system,noun
t-shirt,T-Shirt,der,t-shirt,noun
board,Tafel,der,board,noun
day,Tag,der,day,noun
valley,Tal,der,valley,noun
bag,Tasche,die,bag,noun
cup,Tasse,die,cup,noun
keyboard,Tastatur,die,keyboard,noun
team,Team,der,team,noun
tea,Tee,der,tea,noun
phone,Telefon,der,phone,noun
plate,Teller,der,plate,noun
temperature,Temperatur,die,temperature,noun
appointment,Termin,der,appointment; date,noun
ticket,Ticket,das,ticket; pass,noun
animal,Tier,der,animal,noun
table,Tisch,der,table; desk,noun
tomato,Tomate,die,tomato,noun
pot,Topf,der,pot,noun
pie,Torte,die,pie,noun
grape,Traube,die,grape,noun
dream,Traum,das,dream,noun
door,Tür,die,door,noun
watch,Uhr,der,watch,noun
environment,Umwelt,der,environment,noun
accident,Unfall,der,accident,noun
university,Universität,die,university; college,noun
cause,Ursache,die,cause,noun
father,Vater,der,father,noun
crime,Verbrechen,das,crime,noun
agreement,Vereinbarung,die,agreement,noun
bird,Vogel,der,bird,noun
benefit,Vorteil,der,benefit,noun
growth,Wachstum,das,growth,noun
choice,Wahl,der,choice,noun
truth,Wahrheit,die,truth,noun
forest,Wald,der,forest,noun
wall,Wand,der,wall,noun
water,Wasser,das,water,noun
watermelon,Wassermelone,die,watermelon,noun
website,Webseite,die,website,noun
wine,Wein,der,wine,noun
world,Welt,der,world,noun
value,Wert,der,value,noun
weather,Wetter,das,weather,noun
wind,Wind,der,wind,noun
science,Wissenschaft,die,science,noun
week,Woche,die,week,noun
apartment,Wohnung,die,apartment; flat,noun
cloud,Wolke,die,cloud,noun
word,Wort,der,word,noun
sausage,Wurst,der,sausage,noun
payment,Zahlung,die,payment,noun
tooth,Zahn,der,tooth,noun
crosswalk,Zebrastreifen,der,crosswalk,noun
toe,Zeh,der,toe,noun
time,Zeit,die,time,noun
magazine,Zeitschrift,der,magazine,noun
newspaper,Zeitung,die,newspaper,noun
goal,Ziel,der,goal,noun
room,Zimmer,das,room,noun
lemon,Zitrone,die,lemon,noun
sugar,Zucker,der,sugar,noun
train,Zug,der,train,noun
tongue,Zunge,die,tongue,noun
purpose,Zweck,der,purpose,noun
onion,Zwiebel,der,onion,noun
doctor (female),Ärztin,die,doctor; physician,noun
oil,Öl,der,oil,noun
cancel,abbrechen,,cancel,verb
accept,akzeptieren,,accept,verb
arrive,ankommen,,arrive,verb
call,anrufen,,call,verb
to answer,antworten,,answer; reply,verb
to work,arbeiten,,work,verb
wake,aufwachen,,wake,verb
build,bauen,,build,verb
cover,bedecken,,cover,verb
finish,beenden,,finish,verb
begin,beginnen,,begin,verb
keep,behalten,,keep,verb
get,bekommen,,get,verb
use,benutzen,,use,verb
describe,beschreiben,,describe,verb
visit,besuchen,,visit,verb
enter,betreten,,enter,verb
move,bewegen,,move,verb
to pay,bezahlen,,pay,verb
stay,bleiben,,stay,verb
to need,brauchen,,need; require,verb
break,brechen,,break,verb
bring,bringen,,bring,verb
think,denken,,think,verb
invite,einladen,,invite,verb
discover,entdecken,,discover,verb
decide,entscheiden,,decide,verb
receive,erhalten,,receive,verb
remember,erinnern,,remember,verb
explain,erklären,,explain,verb
allow,erlauben,,allow,verb
tell,erzählen,,tell,verb
to eat,essen,,eat,verb
drive,fahren,,drive,verb
find,finden,,find,verb
fly,fliegen,,fly,verb
continue,fortsetzen,,continue,verb
to ask,fragen,,ask; inquire,verb
feel,fühlen,,feel,verb
give,geben,,give,verb
to go,gehen,,go; walk,verb
win,gewinnen,,win,verb
believe,glauben,,believe,verb
to have,haben,,have; possess,verb
hate,hassen,,hate,verb
to help,helfen,,help; assist,verb
add,hinzufügen,,add,verb
hope,hoffen,,hope,verb
to hear,hören,,hear; listen,verb
to buy,kaufen,,buy; purchase,verb
cook,kochen,,cook,verb
to come,kommen,,come,verb
cost,kosten,,cost,verb
laugh,lachen,,laugh,verb
live,leben,,live,verb
teach,lehren,,teach,verb
borrow,leihen,,borrow,verb
to learn,lernen,,learn; study,verb
to read,lesen,,read,verb
to love,lieben,,love,verb
smile,lächeln,,smile,verb
to do,machen,,do; make,verb
to like,mögen,,like,verb
take,nehmen,,take,verb
organize,organisieren,,organize,verb
plan,planen,,plan,verb
talk,reden,,talk,verb
clean,reinigen,,clean,verb
travel,reisen,,travel,verb
ride,reiten,,ride,verb
run,rennen,,run,verb
repair,reparieren,,repair,verb
to say,sagen,,say; tell,verb
look,schauen,,look,verb
sleep,schlafen,,sleep,verb
close,schliessen,,close,verb
to close,schließen,,close; shut,verb
cut,schneiden,,cut,verb
to write,schreiben,,write,verb
swim,schwimmen,,swim,verb
to see,sehen,,see; watch,verb
to be,sein,,be; exist,verb
send,senden,,send,verb
sit,sitzen,,sit,verb
play,spielen,,play,verb
to speak,sprechen,,speak; talk,verb
start,starten,,start,verb
stand,stehen,,stand,verb
die,sterben,,die,verb
stop,stoppen,,stop,verb
to study,studieren,,study (at university),verb
dance,tanzen,,dance,verb
meet,treffen,,meet,verb
to drink,trinken,,drink,verb
do,tun,,do,verb
support,unterstützen,,support,verb
forget,vergessen,,forget,verb
sell,verkaufen,,sell,verb
leave,verlassen,,leave,verb
lend,verleihen,,lend,verb
lose,verlieren,,lose,verb
promise,versprechen,,promise,verb
try,versuchen,,try,verb
grow,wachsen,,grow,verb
wait,warten,,wait,verb
wash,waschen,,wash,verb
cry,weinen,,cry,verb
become,werden,,become,verb
disagree,widersprechen,,disagree,verb
know,wissen,,know,verb
to want,wollen,,want,verb
choose,wählen,,choose,verb
draw,zeichnen,,draw,verb
show,zeigen,,show,verb
listen,zuhören,,listen,verb
return,zurückkehren,,return,verb
agree,zustimmen,,agree,verb
change,ändern,,change,verb
to open,öffnen,,open,verb
old,alt,,old,adj
easy,einfach,,easy; simple,adj
happy,glücklich,,happy,adj
big,groß,,big; large,adj
good,gut,,good; well,adj
hot,heiß,,hot,adj
cold,kalt,,cold,adj
small,klein,,small; little,adj
new,neu,,new,adj
bad,schlecht,,bad; poor,adj
difficult,schwierig,,difficult; hard,adj
sad,traurig,,sad,adj
zero,,,zero,numeral
but,aber,,but,conjunction
eight,acht,,eight,numeral
eighteen,achtzehn,,eighteen,numeral
eighty,achtzig,,eighty,numeral
than,als,,than,conjunction
old,alt,,old,adjective
most,am meisten,,most,adverb
different,anders,,different,adjective
poor,arm,,poor,adjective
on,auf,,on,preposition
soon,bald,,soon,adverb
at,bei,,at,preposition
popular,beliebt,,popular,adjective
famous,berühmt,,famous,adjective
busy,beschäftigt,,busy,adjective
better,besser,,better,adjective
best,beste,,best,adjective
cheap,billig,,cheap,adjective
blue,blau,,blue,adjective
brown,braun,,brown,adjective
that,das,,that,pronoun
your,dein,,your,pronoun
fat,dick,,fat,adjective
this,dies,,this,pronoun
these,diese,,these,pronoun
there,dort,,there,adverb
three,drei,,three,numeral
thirty,dreissig,,thirty,numeral
thirteen,dreizehn,,thirteen,numeral
you,du,,you,pronoun
dark,dunkel,,dark,adjective
through,durch,,through,preposition
easy,einfach,,easy,adjective
one,eins,,one,numeral
eleven,elf,,eleven,numeral
he,er,,he,pronoun
it,es,,it,pronoun
lazy,faul,,lazy,adjective
free,frei,,free,adjective
friendly,freundlich,,friendly,adjective
fresh,frisch,,fresh,adjective
early,früh,,early,adjective
able,fähig,,able,adjective
five,fünf,,five,numeral
fifteen,fünfzehn,,fifteen,numeral
fifty,fünfzig,,fifty,numeral
for,für,,for,preposition
against,gegen,,against,preposition
yellow,gelb,,yellow,adjective
yesterday,gestern,,yesterday,adverb
healthy,gesund,,healthy,adjective
happy,glücklich,,happy,adjective
gold,golden,,gold,adjective
gray,grau,,gray,adjective
big,gross,,big,adjective
great,grossartig,,great,adjective
green,grün,,green,adjective
good,gut,,adjective,
hard,hart,,adjective,
hot,heiss,,adjective,
bright,hell,,adjective,
today,heute,,adverb,
here,hier,,adverb,
behind,hinter,,preposition,
high,hoch,,high,adjective
hundred,hundert,,hundred,numeral
ugly,hässlich,,ugly,adjective
I,ich,,I,pronoun
him,ihn,,him,pronoun
their,ihr,,their,pronoun
in,in,,in,preposition
interesting,interessant,,interesting,adjective
those,jene,,those,pronoun
now,jetzt,,now,adverb
young,jung,,young,adjective
cold,kalt,,cold,adjective
small,klein,,small,adjective
sick,krank,,sick,adjective
short,kurz,,short,adjective
long,lang,,long,adjective
slowly,langsam,,slowly,adverb
slow,langsam,,slow,adjective
loud,laut,,loud,adjective
empty,leer,,empty,adjective
light,leicht,,light,adjective
quiet,leise,,quiet,adjective
purple,lila,,purple,adjective
more,mehr,,more,adverb
my,mein,,my,pronoun
me,mich,,me,pronoun
with,mit,,with,preposition
modern,modern,,modern,adjective
tomorrow,morgen,,tomorrow,adverb
tired,müde,,tired,adjective
after,nach,,after,preposition
wet,nass,,wet,adjective
nice,nett,,nice,adjective
new,neu,,new,adjective
nine,neun,,nine,numeral
nineteen,neunzehn,,nineteen,numeral
ninety,neunzig,,ninety,numeral
still,noch,,still,adverb
although,obwohl,,although,conjunction
or,oder,,or,conjunction
without,ohne,,without,preposition
orange,orange,,orange,adjective
rich,reich,,rich,adjective
right,richtig,,right,adjective
pink,rosa,,pink,adjective
red,rot,,red,adjective
bad,schlecht,,bad,adjective
narrow,schmal,,narrow,adjective
fast,schnell,,fast,adverb
quick,schnell,,quick,adjective
already,schon,,already,adverb
weak,schwach,,weak,adjective
black,schwarz,,black,adjective
heavy,schwer,,heavy,adjective
difficult,schwierig,,difficult,adjective
beautiful,schön,,beautiful,adjective
six,sechs,,six,numeral
sixteen,sechzehn,,sixteen,numeral
sixty,sechzig,,sixty,numeral
very,sehr,,very,adverb
his,sein,,his,pronoun
safe,sicher,,safe,adjective
she,sie,,she,pronoun
seven,sieben,,seven,numeral
seventeen,siebzehn,,seventeen,numeral
seventy,siebzig,,seventy,numeral
silver,silbern,,silver,adjective
so,so,,so,conjunction
late,spät,,late,adjective
strong,stark,,strong,adjective
thousand,tausend,,thousand,numeral
dead,tot,,dead,adjective
sad,traurig,,sad,adjective
dry,trocken,,dry,adjective
turquoise,türkis,,turquoise,adjective
and,und,,and,conjunction
us,uns,,us,pronoun
our,unser,,our,pronoun
under,unter,,under,preposition
four,vier,,four,numeral
fourteen,vierzehn,,fourteen,numeral
forty,vierzig,,forty,numeral
full,voll,,full,adjective
from,von,,from,preposition
before,vor,,before,preposition
warm,warm,,warm,adjective
soft,weich,,soft,adjective
because,weil,,because,conjunction
white,weiss,,white,adjective
less,weniger,,less,adverb
if,wenn,,if,conjunction
important,wichtig,,important,adjective
again,wieder,,again,adverb
we,wir,,we,pronoun
during,während,,during,preposition
while,während,,while,conjunction
angry,wütend,,angry,adjective
ten,zehn,,ten,numeral
to,zu,,to,preposition
twenty,zwanzig,,twenty,numeral
two,zwei,,two,numeral
between,zwischen,,between,preposition
twelve,zwölf,,twelve,numeral
over,über,,over,preposition
everywhere,überall,,everywhere,adverb
