id,english,german,article_german,french,article_french,meanings,type,topic
97,experience,Erfahrung,die,expérience,l',experience,noun,Work & Education
98,success,Erfolg,der,succès,le,success,noun,Work & Education
99,result,Ergebnis,das,résultat,le,result,noun,Work & Education
100,memory,Erinnerung,die,souvenir,le,memory,noun,Body & Health
101,food,Essen,das,nourriture,la,food; meal,noun,Food & Drinks
102,vinegar,Essig,der,vinaigre,le,vinegar,noun,Food & Drinks
103,factory,Fabrik,die,usine,l',factory,noun,City & Transport
104,driver,Fahrer,der,conducteur,le,driver,noun,City & Transport
105,bike,Fahrrad,das,vélo,le,bicycle; bike,noun,City & Transport
106,case,Fall,der,cas,le,case,noun,Society & Politics
107,family,Familie,die,famille,la,family; relatives,noun,People & Professions
108,color,Farbe,die,couleur,la,color,noun,Adjectives
109,february,Februar,der,février,,february,noun,Time
110,field,Feld,das,champ,le,field,noun,Nature & Weather
111,rock,Felsen,der,rocher,le,rock,noun,Nature & Weather
112,window,Fenster,das,fenêtre,la,window,noun,Home
113,fire,Feuer,das,feu,le,fire,noun,Nature & Weather
114,finger,Finger,der,doigt,le,finger,noun,Body & Health
115,company,Firma,die,entreprise,l',company,noun,Work & Education
116,fish,Fisch,der,poisson,le,fish,noun,Food & Drinks
117,bottle,Flasche,die,bouteille,la,bottle,noun,Food & Drinks
118,meat,Fleisch,das,viande,la,meat,noun,Food & Drinks
119,flight,Flug,der,vol,le,flight,noun,City & Transport
120,airport,Flughafen,der,aéroport,l',airport,noun,City & Transport
121,river,Fluss,der,rivière,la,river,noun,Nature & Weather
122,photo,Foto,das,photo,la,photo,noun,Technology
123,question,Frage,die,question,la,question,noun,Communication
124,woman,Frau,die,femme,la,woman; wife; Mrs.,noun,People & Professions
125,friday,Freitag,der,vendredi,,friday,noun,Time
126,friend,Freund,der,ami,l',friend; boyfriend,noun,People & Professions
127,friend (female),Freundin,die,amie,l',friend; girlfriend,noun,People & Professions
128,breakfast,Frühstück,das,petit-déjeuner,le,breakfast,noun,Food & Drinks
129,foot,Fuss,der,pied,le,foot,noun,Body & Health
130,floor,Fussboden,der,sol,le,floor,noun,Home
131,fork,Gabel,die,fourchette,la,fork,noun,Food & Drinks
132,garden,Garten,der,jardin,le,garden,noun,Home
133,area,Gebiet,das,zone,la,area,noun,Nature & Weather
134,building,Gebäude,das,bâtiment,le,building,noun,Home
135,danger,Gefahr,die,danger,le,danger,noun,Society & Politics
136,secret,Geheimnis,das,secret,le,secret,noun,Communication
137,brain,Gehirn,das,cerveau,le,brain,noun,Body & Health
138,money,Geld,das,argent,l',money; cash,noun,Work & Education
139,wallet,Geldbörse,die,portefeuille,le,wallet,noun,Clothing & Accessories
140,opportunity,Gelegenheit,die,opportunité,l',opportunity,noun,Work & Education
141,history,Geschichte,die,histoire,l',history,noun,Work & Education
142,store,Geschäft,das,magasin,le,store; shop; business,noun,City & Transport
143,society,Gesellschaft,die,société,la,society,noun,Society & Politics
144,law,Gesetz,das,loi,la,law,noun,Society & Politics
145,habit,Gewohnheit,die,habitude,l',habit,noun,Work & Education
146,glass,Glas,das,verre,le,glass,noun,Food & Drinks
147,reason,Grund,der,raison,la,reason,noun,Grammar & Connectors
148,group,Gruppe,die,groupe,le,group,noun,People & Professions
149,cucumber,Gurke,die,concombre,le,cucumber,noun,Food & Drinks
150,belt,Gürtel,der,ceinture,la,belt,noun,Clothing & Accessories
151,hair,Haar,das,cheveux,les,hair,noun,Body & Health
152,neck,Hals,der,cou,le,neck,noun,Body & Health
153,necklace,Halskette,die,collier,le,necklace,noun,Clothing & Accessories
154,hand,Hand,die,main,la,hand,noun,Body & Health
155,gloves,Handschuhe,die,gants,les,gloves,noun,Clothing & Accessories
156,phone,Handy,das,téléphone,le,phone; mobile,noun,Technology
157,capital,Hauptstadt,die,capitale,la,capital,noun,City & Transport
158,house,Haus,das,maison,la,house; home (building),noun,Home
159,skin,Haut,die,peau,la,skin,noun,Body & Health
160,shirt,Hemd,das,chemise,la,shirt,noun,Clothing & Accessories
161,heart,Herz,das,cœur,le,heart,noun,Body & Health
162,help,Hilfe,die,aide,l',help; assistance,noun,Communication
163,sky,Himmel,der,ciel,le,sky,noun,Nature & Weather
164,honey,Honig,der,miel,le,honey,noun,Food & Drinks
165,pants,Hose,die,pantalon,le,pants,noun,Clothing & Accessories
166,hotel,Hotel,das,hôtel,l',hotel,noun,City & Transport
167,dog,Hund,der,chien,le,dog,noun,Nature & Weather
168,hat,Hut,der,chapeau,le,hat,noun,Clothing & Accessories
169,chicken,Hähnchen,das,poulet,le,chicken,noun,Food & Drinks
170,idea,Idee,die,idée,l',idea,noun,Communication
171,industry,Industrie,die,industrie,l',industry,noun,Work & Education
172,information,Information,die,information,l',information,noun,Communication
173,engineer,Ingenieur,der,ingénieur,l',engineer,noun,People & Professions
174,island,Insel,die,île,l',island,noun,Nature & Weather
175,interest,Interesse,das,intérêt,l',interest,noun,Work & Education
176,internet,Internet,das,internet,l',internet,noun,Technology
177,jacket,Jacke,die,veste,la,jacket,noun,Clothing & Accessories
178,year,Jahr,das,année,l',year,noun,Time
179,january,Januar,der,janvier,,january,noun,Time
180,jeans,Jeans,die,jean,le,jeans,noun,Clothing & Accessories
181,job,Job,der,emploi,l',job; part-time job,noun,Work & Education
182,journalist,Journalist,der,journaliste,le,journalist,noun,People & Professions
183,july,Juli,der,juillet,,july,noun,Time
184,boy,Junge,der,garçon,le,boy,noun,People & Professions
185,june,Juni,der,juin,,june,noun,Time
186,coffee,Kaffee,der,café,le,coffee,noun,Food & Drinks
187,camera,Kamera,die,appareil photo,l',camera,noun,Technology
188,hoodie,Kapuzensweatshirt,das,sweat à capuche,le,hoodie,noun,Clothing & Accessories
189,carrot,Karotte,die,carotte,la,carrot,noun,Food & Drinks
190,map,Karte,die,carte,la,map,noun,City & Transport
191,potato,Kartoffel,die,pomme de terre,la,potato,noun,Food & Drinks
192,cat,Katze,die,chat,le,cat,noun,Nature & Weather
193,cookie,Keks,der,biscuit,le,cookie,noun,Food & Drinks
194,waiter,Kellner,der,serveur,le,waiter,noun,People & Professions
195,child,Kind,das,enfant,l',child; kid,noun,People & Professions
196,church,Kirche,die,église,l',church,noun,City & Transport
197,cherry,Kirsche,die,cerise,la,cherry,noun,Food & Drinks
198,pillow,Kissen,das,oreiller,l',pillow,noun,Home
199,box,Kiste,die,boîte,la,box,noun,Home
200,class,Klasse,die,classe,la,class,noun,Work & Education
201,dress,Kleid,das,robe,la,dress,noun,Clothing & Accessories
202,clothes,Kleidung,die,vêtements,les,clothes,noun,Clothing & Accessories
203,climate,Klima,das,climat,le,climate,noun,Nature & Weather
204,knee,Knie,das,genou,le,knee,noun,Body & Health
205,garlic,Knoblauch,der,ail,l',garlic,noun,Food & Drinks
206,bone,Knochen,der,os,l',bone,noun,Body & Health
207,chef,Koch,der,cuisinier,le,chef,noun,People & Professions
208,compass,Kompass,der,boussole,la,compass,noun,City & Transport
209,account,Konto,das,compte,le,account,noun,Technology
210,control,Kontrolle,die,contrôle,le,control,noun,Work & Education
211,head,Kopf,der,tête,la,head,noun,Body & Health
212,copy,Kopie,die,copie,la,copy,noun,Communication
213,hospital,Krankenhaus,das,hôpital,l',hospital,noun,Body & Health
214,nurse,Krankenschwester,die,infirmière,l',nurse,noun,People & Professions
215,disease,Krankheit,die,maladie,la,disease,noun,Body & Health
216,war,Krieg,der,guerre,la,war,noun,Society & Politics
217,cake,Kuchen,der,gâteau,le,cake,noun,Food & Drinks
218,pen,Kugelschreiber,der,stylo,le,pen,noun,Work & Education
219,culture,Kultur,die,culture,la,culture,noun,Work & Education
220,customer,Kunde,der,client,le,customer,noun,Work & Education
221,course,Kurs,der,cours,le,course,noun,Work & Education
222,cheese,Käse,der,fromage,le,cheese,noun,Food & Drinks
223,kitchen,Küche,die,cuisine,la,kitchen,noun,Home
224,artist,Künstler,der,artiste,l',artist,noun,People & Professions
225,charger,Ladegerät,das,chargeur,le,charger,noun,Technology
226,lamp,Lampe,die,lampe,la,lamp,noun,Home
227,country,Land,das,pays,le,country,noun,City & Transport
228,teacher,Lehrer,der,professeur,le,teacher,noun,People & Professions
229,performance,Leistung,die,performance,la,performance,noun,Work & Education
230,spoon,Löffel,der,cuillère,la,spoon,noun,Food & Drinks
231,solution,Lösung,die,solution,la,solution,noun,Work & Education
232,power,Macht,die,pouvoir,le,power,noun,Society & Politics
233,stomach,Magen,der,estomac,l',stomach,noun,Body & Health
234,may,Mai,der,mai,,may,noun,Time
235,manager,Manager,der,manager,le,manager,noun,People & Professions
236,man,Mann,der,homme,l',man; husband,noun,People & Professions
237,coat,Mantel,der,manteau,le,coat,noun,Clothing & Accessories
238,market,Markt,der,marché,le,market,noun,City & Transport
239,machine,Maschine,die,machine,la,machine,noun,Technology
240,material,Material,das,matériau,le,material,noun,Work & Education
241,mouse,Maus,die,souris,la,mouse,noun,Technology
242,medicine,Medizin,die,médecine,la,medicine,noun,Body & Health
243,sea,Meer,das,mer,la,sea,noun,Nature & Weather
244,opinion,Meinung,die,opinion,l',opinion,noun,Communication
245,melon,Melone,die,melon,le,melon,noun,Food & Drinks
246,people,Menschen,die,gens,les,people,noun,People & Professions
247,knife,Messer,das,couteau,le,knife,noun,Food & Drinks
248,milk,Milch,die,lait,le,milk,noun,Food & Drinks
249,lunch,Mittagessen,das,déjeuner,le,lunch,noun,Food & Drinks
250,wednesday,Mittwoch,der,mercredi,,wednesday,noun,Time
251,moment,Moment,der,moment,le,moment,noun,Time
252,month,Monat,der,mois,le,month,noun,Time
253,moon,Mond,der,lune,la,moon,noun,Nature & Weather
254,monday,Montag,der,lundi,,monday,noun,Time
255,morning,Morgen,der,matin,le,morning; tomorrow (as noun),noun,Time
256,mouth,Mund,der,bouche,la,mouth,noun,Body & Health
257,music,Musik,die,musique,la,music,noun,Work & Education
258,musician,Musiker,der,musicien,le,musician,noun,People & Professions
259,mother,Mutter,die,mère,la,mother,noun,People & Professions
260,march,März,der,mars,,march,noun,Time
261,cap,Mütze,die,casquette,la,cap,noun,Clothing & Accessories
262,message,Nachricht,die,message,le,message; news,noun,Communication
263,news,Nachrichten,die,nouvelles,les,news,noun,Work & Education
264,night,Nacht,die,nuit,la,night,noun,Time
265,name,Name,der,nom,le,name,noun,Communication
266,nose,Nase,die,nez,le,nose,noun,Body & Health
267,nature,Natur,die,nature,la,nature,noun,Nature & Weather
268,fog,Nebel,der,brouillard,le,fog,noun,Nature & Weather
269,level,Niveau,das,niveau,le,level,noun,Work & Education
270,november,November,der,novembre,,november,noun,Time
271,pasta,Nudeln,die,pâtes,les,pasta,noun,Food & Drinks
272,ear,Ohr,das,oreille,l',ear,noun,Body & Health
273,earring,Ohrring,der,boucle d'oreille,la,earring,noun,Clothing & Accessories
274,october,Oktober,der,octobre,,october,noun,Time
275,operation,Operation,die,opération,l',operation,noun,Body & Health
276,folder,Ordner,der,dossier,le,folder,noun,Home
277,organization,Organisation,die,organisation,l',organization,noun,Work & Education
278,ocean,Ozean,der,océan,l',ocean,noun,Nature & Weather
279,package,Paket,das,colis,le,package,noun,City & Transport
280,paper,Papier,das,papier,le,paper,noun,Work & Education
281,park,Park,der,parc,le,park,noun,City & Transport
282,partner,Partner,der,partenaire,le,partner,noun,People & Professions
283,party,Party,die,fête,la,party,noun,People & Professions
284,password,Passwort,das,mot de passe,le,password,noun,Technology
285,person,Person,die,personne,la,person; individual,noun,People & Professions
286,pan,Pfanne,die,poêle,la,pan,noun,Food & Drinks
287,pepper,Pfeffer,der,poivre,le,pepper,noun,Food & Drinks
288,peach,Pfirsich,der,pêche,la,peach,noun,Food & Drinks
289,plant,Pflanze,die,plante,la,plant,noun,Nature & Weather
290,plum,Pflaume,die,prune,la,plum,noun,Food & Drinks
291,pilot,Pilot,der,pilote,le,pilot,noun,People & Professions
292,police,Polizei,die,police,la,police,noun,Society & Politics
293,position,Position,die,position,la,position,noun,Work & Education
294,price,Preis,der,prix,le,price; award,noun,Work & Education
295,problem,Problem,das,problème,le,problem; issue,noun,Work & Education
296,product,Produkt,das,produit,le,product,noun,Work & Education
297,project,Projekt,das,projet,le,project,noun,Work & Education
298,process,Prozess,der,processus,le,process,noun,Work & Education
299,sweater,Pullover,der,pull,le,sweater,noun,Clothing & Accessories
300,space,Raum,der,espace,l',space,noun,Nature & Weather
301,bill,Rechnung,die,facture,la,bill,noun,Work & Education
302,rule,Regel,die,règle,la,rule,noun,Society & Politics
303,rain,Regen,der,pluie,la,rain,noun,Nature & Weather
304,umbrella,Regenschirm,der,parapluie,le,umbrella,noun,Nature & Weather
305,government,Regierung,die,gouvernement,le,government,noun,Society & Politics
306,rice,Reis,der,riz,le,rice,noun,Food & Drinks
307,journey,Reise,die,voyage,le,journey,noun,City & Transport
308,restaurant,Restaurant,das,restaurant,le,restaurant,noun,City & Transport
309,judge,Richter,der,juge,le,judge,noun,People & Professions
310,direction,Richtung,die,direction,la,direction,noun,City & Transport
311,beef,Rindfleisch,das,bœuf,le,beef,noun,Food & Drinks
312,ring,Ring,der,bague,la,ring,noun,Clothing & Accessories
313,skirt,Rock,der,jupe,la,skirt,noun,Clothing & Accessories
314,backpack,Rucksack,der,sac à dos,le,backpack,noun,Clothing & Accessories
315,back,Rücken,der,dos,le,back,noun,Body & Health
316,salad,Salat,der,salade,la,salad,noun,Food & Drinks
317,salt,Salz,das,sel,le,salt,noun,Food & Drinks
318,saturday,Samstag,der,samedi,,saturday,noun,Time
319,sand,Sand,der,sable,le,sand,noun,Nature & Weather
320,damage,Schaden,der,dommage,le,damage,noun,Society & Politics
321,scarf,Schal,der,écharpe,l',scarf,noun,Clothing & Accessories
322,actor,Schauspieler,der,acteur,l',actor,noun,People & Professions
323,battle,Schlacht,die,bataille,la,battle,noun,Society & Politics
324,bedroom,Schlafzimmer,das,chambre,la,bedroom,noun,Home
325,key,Schlüssel,der,clé,la,key; wrench,noun,Home
326,snow,Schnee,der,neige,la,snow,noun,Nature & Weather
327,desk,Schreibtisch,der,bureau,le,desk,noun,Home
328,writer,Schriftsteller,der,écrivain,l',writer,noun,People & Professions
329,shoes,Schuhe,die,chaussures,les,shoes,noun,Clothing & Accessories
330,school,Schule,die,école,l',school,noun,Work & Education
331,shoulder,Schulter,die,épaule,l',shoulder,noun,Body & Health
332,pork,Schweinefleisch,das,porc,le,pork,noun,Food & Drinks
333,sister,Schwester,die,sœur,la,sister,noun,People & Professions
334,student,Schüler,der,élève,l',student,noun,People & Professions
335,lake,See,der,lac,le,lake,noun,Nature & Weather
336,side,Seite,die,côté,le,side,noun,Grammar & Connectors
337,september,September,der,septembre,,september,noun,Time
338,shorts,Shorts,die,short,le,shorts,noun,Clothing & Accessories
339,safety,Sicherheit,die,sécurité,la,safety,noun,Society & Politics
340,situation,Situation,die,situation,la,situation,noun,Work & Education
341,socks,Socken,die,chaussettes,les,socks,noun,Clothing & Accessories
342,soldier,Soldat,der,soldat,le,soldier,noun,People & Professions
343,sun,Sonne,die,soleil,le,sun,noun,Nature & Weather
344,sunday,Sonntag,der,dimanche,,sunday,noun,Time
345,mirror,Spiegel,der,miroir,le,mirror,noun,Home
346,player,Spieler,der,joueur,le,player,noun,Work & Education
347,sport,Sport,der,sport,le,sport,noun,Work & Education
348,language,Sprache,die,langue,la,language; speech,noun,Work & Education
349,city,Stadt,die,ville,la,city; town,noun,City & Transport
350,stone,Stein,der,pierre,la,stone,noun,Nature & Weather
351,star,Stern,der,étoile,l',star,noun,Nature & Weather
352,boots,Stiefel,die,bottes,les,boots,noun,Clothing & Accessories
353,pen,Stift,der,stylo,le,pen; pencil,noun,Work & Education
354,voice,Stimme,die,voix,la,voice,noun,Communication
355,beach,Strand,der,plage,la,beach,noun,Nature & Weather
356,street,Strasse,die,rue,la,street,noun,City & Transport
358,argument,Streit,der,dispute,la,argument,noun,Communication
359,chair,Stuhl,der,chaise,la,chair,noun,Home
360,storm,Sturm,der,tempête,la,storm,noun,Nature & Weather
361,soup,Suppe,die,soupe,la,soup,noun,Food & Drinks
362,system,System,das,système,le,system,noun,Technology
363,t-shirt,T-Shirt,das,t-shirt,le,t-shirt,noun,Clothing & Accessories
364,board,Tafel,die,tableau,le,board,noun,Home
365,day,Tag,der,jour,le,day,noun,Time
366,valley,Tal,das,vallée,la,valley,noun,Nature & Weather
367,bag,Tasche,die,sac,le,bag,noun,Clothing & Accessories
368,cup,Tasse,die,tasse,la,cup,noun,Food & Drinks
369,keyboard,Tastatur,die,clavier,le,keyboard,noun,Technology
370,team,Team,das,équipe,l',team,noun,Work & Education
371,tea,Tee,der,thé,le,tea,noun,Food & Drinks
372,phone,Telefon,der,téléphone,le,phone,noun,Technology
373,plate,Teller,der,assiette,l',plate,noun,Food & Drinks
374,temperature,Temperatur,die,température,la,temperature,noun,Nature & Weather
375,appointment,Termin,der,rendez-vous,le,appointment; date,noun,Time
376,ticket,Ticket,das,billet,le,ticket; pass,noun,City & Transport
377,animal,Tier,das,animal,l',animal,noun,Nature & Weather
378,table,Tisch,der,table,la,table; desk,noun,Home
379,tomato,Tomate,die,tomate,la,tomato,noun,Food & Drinks
380,pot,Topf,der,casserole,la,pot,noun,Food & Drinks
381,pie,Torte,die,tarte,la,pie,noun,Food & Drinks
382,grape,Traube,die,raisin,le,grape,noun,Food & Drinks
383,dream,Traum,der,rêve,le,dream,noun,Body & Health
384,door,Tür,die,porte,la,door,noun,Home
385,watch,Uhr,die,montre,la,watch,noun,Clothing & Accessories
386,environment,Umwelt,die,environnement,l',environment,noun,Nature & Weather
387,accident,Unfall,der,accident,l',accident,noun,Body & Health
388,university,Universität,die,université,l',university; college,noun,Work & Education
389,cause,Ursache,die,cause,la,cause,noun,Society & Politics
390,father,Vater,der,père,le,father,noun,People & Professions
391,crime,Verbrechen,das,crime,le,crime,noun,Society & Politics
392,agreement,Vereinbarung,die,accord,l',agreement,noun,Work & Education
393,bird,Vogel,der,oiseau,l',bird,noun,Nature & Weather
394,benefit,Vorteil,der,avantage,l',benefit,noun,Work & Education
395,growth,Wachstum,das,croissance,la,growth,noun,Work & Education
396,choice,Wahl,die,choix,le,choice,noun,Work & Education
397,truth,Wahrheit,die,vérité,la,truth,noun,Communication
398,forest,Wald,der,forêt,la,forest,noun,Nature & Weather
399,wall,Wand,die,mur,le,wall,noun,Home
400,water,Wasser,das,eau,l',water,noun,Food & Drinks
401,watermelon,Wassermelone,die,pastèque,la,watermelon,noun,Food & Drinks
402,website,Webseite,die,site web,le,website,noun,Technology
403,wine,Wein,der,vin,le,wine,noun,Food & Drinks
404,world,Welt,die,monde,le,world,noun,Nature & Weather
405,value,Wert,der,valeur,la,value,noun,Work & Education
406,weather,Wetter,das,météo,la,weather,noun,Nature & Weather
407,wind,Wind,der,vent,le,wind,noun,Nature & Weather
408,science,Wissenschaft,die,science,la,science,noun,Work & Education
409,week,Woche,die,semaine,la,week,noun,Time
410,apartment,Wohnung,die,appartement,l',apartment; flat,noun,Home
411,cloud,Wolke,die,nuage,le,cloud,noun,Nature & Weather
412,word,Wort,das,mot,le,word,noun,Communication
413,sausage,Wurst,die,saucisse,la,sausage,noun,Food & Drinks
414,payment,Zahlung,die,paiement,le,payment,noun,Work & Education
415,tooth,Zahn,der,dent,la,tooth,noun,Body & Health
416,crosswalk,Zebrastreifen,der,passage piéton,le,crosswalk,noun,City & Transport
417,toe,Zeh,der,orteil,l',toe,noun,Body & Health
418,time,Zeit,die,temps,le,time,noun,Time
419,magazine,Zeitschrift,die,magazine,le,magazine,noun,Home
420,newspaper,Zeitung,die,journal,le,newspaper,noun,Home
421,goal,Ziel,das,objectif,l',goal,noun,Work & Education
422,room,Zimmer,das,pièce,la,room,noun,Home
423,lemon,Zitrone,die,citron,le,lemon,noun,Food & Drinks
424,sugar,Zucker,der,sucre,le,sugar,noun,Food & Drinks
425,train,Zug,der,train,le,train,noun,City & Transport
426,tongue,Zunge,die,langue,la,tongue,noun,Body & Health
427,purpose,Zweck,der,but,le,purpose,noun,Work & Education
428,onion,Zwiebel,die,oignon,l',onion,noun,Food & Drinks
429,doctor (female),Ärztin,die,médecin,le,doctor; physician,noun,People & Professions
430,oil,Öl,das,huile,l',oil,noun,Food & Drinks
431,cancel,abbrechen,,annuler,,cancel,verb,Everyday Verbs
432,accept,akzeptieren,,accepter,,accept,verb,Everyday Verbs
433,arrive,ankommen,,arriver,,arrive,verb,Everyday Verbs
434,call,anrufen,,appeler,,call,verb,Communication
435,to answer,antworten,,répondre,,answer; reply,verb,Everyday Verbs
436,to work,arbeiten,,travailler,,work,verb,Everyday Verbs
437,wake,aufwachen,,se réveiller,,wake,verb,Everyday Verbs
438,build,bauen,,construire,,build,verb,Everyday Verbs
439,cover,bedecken,,couvrir,,cover,verb,Everyday Verbs
440,finish,beenden,,finir,,finish,verb,Everyday Verbs
441,begin,beginnen,,commencer,,begin,verb,Everyday Verbs
442,keep,behalten,,garder,,keep,verb,Everyday Verbs
443,get,bekommen,,obtenir,,get,verb,Everyday Verbs
444,use,benutzen,,utiliser,,use,verb,Everyday Verbs
445,describe,beschreiben,,décrire,,describe,verb,Communication
446,visit,besuchen,,visiter,,visit,verb,Everyday Verbs
447,enter,betreten,,entrer,,enter,verb,Everyday Verbs
448,move,bewegen,,bouger,,move,verb,Everyday Verbs
449,to pay,bezahlen,,payer,,pay,verb,Everyday Verbs
450,stay,bleiben,,rester,,stay,verb,Everyday Verbs
451,to need,brauchen,,avoir besoin,,need; require,verb,Everyday Verbs
452,break,brechen,,casser,,break,verb,Everyday Verbs
453,bring,bringen,,apporter,,bring,verb,Everyday Verbs
454,think,denken,,penser,,think,verb,Everyday Verbs
455,invite,einladen,,inviter,,invite,verb,Communication
456,discover,entdecken,,découvrir,,discover,verb,Everyday Verbs
457,decide,entscheiden,,décider,,decide,verb,Everyday Verbs
458,receive,erhalten,,recevoir,,receive,verb,Everyday Verbs
459,remember,erinnern,,se souvenir,,remember,verb,Everyday Verbs
460,explain,erklären,,expliquer,,explain,verb,Communication
